layer,theta,c,private_implied,social_implied,theta_tau1.5,c_tau1.5
0,-0.031085180872818974,-0.03590450463984065,-0.021521583698765757,-0.032859740369789135,-0.1251273723918787,-0.09310687322885096
1,0.005038625428061749,0.006608766919278386,-0.007545980167152466,-0.031663292848804335,-0.10333162160717113,-0.06394784684708248
2,0.036273100887026136,0.04370986982490195,0.0062018880299293585,-0.02935502167681949,-0.0836349054920554,-0.03713435513216092
3,0.100568637938563,0.11998110511872224,0.03488622253338134,-0.02337086122788614,-0.04314142873130757,0.01829123144526932
4,0.1968471511984235,0.23377135959078904,0.07824354117649361,-0.005660472769869362,0.02373705543019953,0.10575568976159769
5,0.2649433070047511,0.30807821880710706,0.13208966126596308,0.05012207285970571,0.07557003880784033,0.1699047713454298
6,0.31626811214681244,0.3690126055452631,0.17597556073785037,0.08358560049618832,0.12107317162790625,0.22839101154642413
7,0.35519968316010875,0.4143270699800639,0.2100199751949335,0.156439238022731,0.1687488512541579,0.2787306911661709
8,0.44969625880950587,0.5403263730912962,0.2869740399608003,0.2662859984295379,0.2926661194872421,0.4233355835958301
9,0.5198299595592207,0.6452127459221916,0.3392131613812535,0.3221633727691115,0.3827382181643463,0.5434242107339197
10,0.5662200976126444,0.7157502977885475,0.38907471425467766,0.3871379800931206,0.45808116435105245,0.6402298519857107
11,0.5957351986216307,0.7478093324254447,0.461624438422492,0.41421871442936614,0.5037880043391281,0.6934822228146402
12,0.6105128148269189,0.7665741604461489,0.49320170452177725,0.42561116945154537,0.5407920127887371,0.7363323314634673
13,0.6276281299385305,0.7773208033798663,0.4951859172033398,0.4511624705248868,0.5441487035988225,0.7640301152522441
14,0.6387589733584598,0.7809193759693253,0.4960765891139037,0.4496348909124494,0.5467378062479062,0.7622397580306045
15,0.6282329833059036,0.7687721189821556,0.5040910831817614,0.45097709773734646,0.5414897024758906,0.7501802115360061
16,0.6551448476879801,0.8131256911987295,0.568801223758092,0.516041076386939,0.6165919772825921,0.8817822624994032
17,0.6588264338178151,0.814498474835041,0.5670997097852766,0.5186498858162413,0.6145926109552143,0.8801712445493888
18,0.698124892503989,0.8368976798999614,0.5900181258303043,0.5569588182701399,0.674331126674446,0.9383359579343633
19,0.7009249767206944,0.8341553185349543,0.6032004210243367,0.5801471465350642,0.6778729497564948,0.9412147382578876
20,0.7000955435249329,0.8354694218355772,0.6262531781035499,0.6012678385408782,0.6801637726239991,0.9413866312412547
21,0.7011414343287937,0.8363399740109511,0.6344771711438718,0.631126280571143,0.681577301069575,0.9435057250659021
22,0.7041826688426254,0.8398863202105413,0.655655854500295,0.6515990469065478,0.6851350444406463,0.9451475165684965
23,0.7134809735990548,0.8450610564433934,0.6801940561310182,0.6772662356559149,0.6948014443491871,0.9498696583459442
24,0.7164056106969798,0.8473494270667183,0.693152839677194,0.6908157658456122,0.6973894744561715,0.9514490242274036
25,0.7228658299730585,0.8495546004413675,0.7086882837905331,0.7090604354604295,0.704594091816759,0.9530182462885792
26,0.7274145334661708,0.8542077367558084,0.7252400186020278,0.7266155106302065,0.708871569540886,0.9549713379275915
27,0.7361352640540357,0.859261215136876,0.7584102645088666,0.7655922559867949,0.7156895690843725,0.9561250924328253
28,0.7414756884303516,0.8617429120176293,0.7786180777032214,0.7841614948113522,0.7218955520458481,0.9578827907616778
29,0.7484598527339532,0.87251432803345,0.7973397002264985,0.8151163796956,0.7269626702805166,0.9585405100425664
30,0.7548208638381373,0.8765395134170559,0.8114000564951702,0.8357657710852024,0.7384283820572204,0.9596478759699807
31,0.7619742953566928,0.8857719055939908,0.8321401971913064,0.8541061351692683,0.7431874108280278,0.9623560981490973
32,0.7740469377138925,0.8909672964306617,0.8637460774210639,0.9243601622936636,0.7490672240055737,0.963922660690265
